product_id,product_title,rating,total_reviews,price,top_reviews
itmb102b8a51100e,"Apple iPhone 16 Pro Max (Desert Titanium, 256 GB)",4.6,99,"₹1,34,999","5 Excellent iPhone 16 Pro Max | Desert Titanium | So powerful like a mini supercomputer ❤️ READ MORE Saransh Goswami Certified Buyer , Noida 11 months ago 2036 857 Permalink Report Abuse || 4 Very Good Upgrading from iP12 The difference is earth shattering Absolute beast of a phone, take a look at some of the photos that i took from this phone. Just go for it. Worth the price for me❤️👍🏻 READ MORE Rohit Hegde Certified Buyer , New Delhi 4 months ago 74 20 Permalink Report Abuse"
itmdbb23fa63b708,"Apple iPhone 13 Pro Max (Graphite, 1 TB)",4.6,193,"₹1,79,900","5 Perfect product! This is it, I am in love with my Oh.So.Pro🥰😍 READ MORE Nimisha yadav Certified Buyer , Bengaluru Nov, 2021 11648 1287 Permalink Report Abuse || 5 Worth every penny Truly the best pro max. Worth the upgrade..Awesome build quality READ MORE Chandan Hazarika Certified Buyer , North Lakhimpur Feb, 2022 5559 824 Permalink Report Abuse"
itm3485a56f6e676,"Apple iPhone 14 (Starlight, 128 GB)",4.6,"11,695","₹52,999","5 Terrific purchase Just wow😍😘 READ MORE Krystle Db Certified Buyer , Khowai Mar, 2023 97 11 Permalink Report Abuse || 5 Great product Damn such a great phone. Camera is really good, battery lasts long enough, super smooth even though its just 60 hz XDR display. Videos with action mode on are insanely stable and crisp.The night mode can take some really good shots jn low light conditions .The whole apple environment itself is so seamless. I shifted from android to iPhone and it barely took any time since I had iPad and a mac already. With a just a few clicks the phone was ready to go. READ MORE Flipkart Customer Certified Buyer , Rajgarh Jan, 2023 4216 849 Permalink Report Abuse"
